DateUTC,TimeUTC,SUM_of_MNOZSTVO
16/07/2013,960,144835.37366
16/07/2013,990,140999.30239
16/07/2013,1020,138639.25302
16/07/2013,1050,135834.69827
16/07/2013,1080,131871.10274
16/07/2013,1110,128841.93641
16/07/2013,1140,126856.0174
16/07/2013,1170,121936.04016
16/07/2013,1200,117175.47624
16/07/2013,1230,116663.15777
16/07/2013,1260,114963.56023
16/07/2013,1290,112680.9722
16/07/2013,1320,108843.48619
17/07/2013,-90,104234.06406
17/07/2013,-60,103389.34544
17/07/2013,-30,103088.65063
17/07/2013,0,102687.91057
17/07/2013,30,101763.64593
17/07/2013,60,100929.32186
17/07/2013,90,100507.95579
17/07/2013,120,101192.89092
17/07/2013,150,104290.28674
17/07/2013,180,106960.11573
17/07/2013,210,109267.3766
17/07/2013,240,112539.72766
17/07/2013,270,121424.36435
17/07/2013,300,129059.91989
17/07/2013,330,136447.08024
17/07/2013,360,142611.06232
17/07/2013,390,147429.78774
17/07/2013,420,151942.1248
17/07/2013,450,156740.05733
17/07/2013,480,159590.20393
17/07/2013,510,162542.40813
17/07/2013,540,161219.62989
17/07/2013,570,162117.86261
17/07/2013,600,164003.13582
17/07/2013,630,165639.18783
17/07/2013,660,166349.66609
17/07/2013,690,166365.45734
17/07/2013,720,163878.49917
17/07/2013,750,163200.90805
17/07/2013,780,162940.26034
17/07/2013,810,160292.45221
17/07/2013,840,157611.79603
17/07/2013,870,153891.29324
17/07/2013,900,150592.64658
17/07/2013,930,148448.48102
17/07/2013,960,145822.03417
17/07/2013,990,141046.70782
17/07/2013,1020,139612.55804
17/07/2013,1050,137594.74898
17/07/2013,1080,135830.57081
17/07/2013,1110,132645.07628
17/07/2013,1140,131200.50312
17/07/2013,1170,127503.42629
17/07/2013,1200,122887.08861
17/07/2013,1230,120252.36338
17/07/2013,1260,117300.37927
17/07/2013,1290,114762.92097
17/07/2013,1320,110910.98581
18/07/2013,-90,107909.40801
18/07/2013,-60,107964.60471
18/07/2013,-30,106865.9246
18/07/2013,0,106469.94645
18/07/2013,30,105349.74326
18/07/2013,60,105873.29363
18/07/2013,90,104222.22937
18/07/2013,120,104556.89471
18/07/2013,150,108006.32269
18/07/2013,180,109680.95078
18/07/2013,210,111744.75235
18/07/2013,240,116775.92392
18/07/2013,270,125020.9566
18/07/2013,300,131748.64088
18/07/2013,330,138857.22889
18/07/2013,360,147395.73389
18/07/2013,390,153384.88004
18/07/2013,420,157548.52222
18/07/2013,450,162943.03018
18/07/2013,480,166006.6637
18/07/2013,510,168817.59391
