DateUTC,TimeUTC,SUM_of_MNOZSTVO
2013-07-17,510,151942.1248
2013-07-17,540,156740.05733
2013-07-17,570,159590.20393
2013-07-17,600,162542.40813
2013-07-17,630,161219.62989
2013-07-17,660,162117.86261
2013-07-17,690,164003.13582
2013-07-17,720,165639.18783
2013-07-17,750,166349.66609
2013-07-17,780,166365.45734
2013-07-17,810,163878.49917
2013-07-17,840,163200.90805
2013-07-17,870,162940.26034
2013-07-17,900,160292.45221
2013-07-17,930,157611.79603
2013-07-17,960,153891.29324
2013-07-17,990,150592.64658
2013-07-17,1020,148448.48102
2013-07-17,1050,145822.03417
2013-07-17,1080,141046.70782
2013-07-17,1110,139612.55804
2013-07-17,1140,137594.74898
2013-07-17,1170,135830.57081
2013-07-17,1200,132645.07628
2013-07-17,1230,131200.50312
2013-07-17,1260,127503.42629
2013-07-17,1290,122887.08861
2013-07-17,1320,120252.36338
2013-07-17,1350,117300.37927
2013-07-17,1380,114762.92097
2013-07-17,1410,110910.98581
2013-07-18,0,107909.40801
2013-07-18,30,107964.60471
2013-07-18,60,106865.9246
2013-07-18,90,106469.94645
2013-07-18,120,105349.74326
2013-07-18,150,105873.29363
2013-07-18,180,104222.22937
2013-07-18,210,104556.89471
2013-07-18,240,108006.32269
2013-07-18,270,109680.95078
2013-07-18,300,111744.75235
2013-07-18,330,116775.92392
2013-07-18,360,125020.9566
2013-07-18,390,131748.64088
2013-07-18,420,138857.22889
2013-07-18,450,147395.73389
2013-07-18,480,153384.88004
2013-07-18,510,157548.52222
2013-07-18,540,162943.03018
2013-07-18,570,166006.6637
2013-07-18,600,168817.59391
2013-07-18,630,169636.18014
2013-07-18,660,168477.66177
2013-07-18,690,171133.58937
2013-07-18,720,173943.54503
2013-07-18,750,173436.9263
2013-07-18,780,173914.78139
2013-07-18,810,169098.21495
2013-07-18,840,169722.46745
2013-07-18,870,168053.09734
2013-07-18,900,166692.13854
2013-07-18,930,162572.57203
2013-07-18,960,158351.19323
2013-07-18,990,155229.19289
2013-07-18,1020,153204.10833
2013-07-18,1050,150800.40396
2013-07-18,1080,145067.08428
2013-07-18,1110,144233.91532
2013-07-18,1140,140478.0153
2013-07-18,1170,137810.85201
2013-07-18,1200,135361.79261
2013-07-18,1230,133363.16886
2013-07-18,1260,130211.04003
2013-07-18,1290,124288.71018
2013-07-18,1320,122376.59314
2013-07-18,1350,120772.89387
2013-07-18,1380,117592.36387
2013-07-18,1410,114054.10195
2013-07-19,0,109088.49106
2013-07-19,30,106772.82156
2013-07-19,60,106557.71399
2013-07-19,90,106152.08794
2013-07-19,120,104924.7598
2013-07-19,150,105500.42435
2013-07-19,180,104490.59621
2013-07-19,210,103098.58777
2013-07-19,240,107513.25396
2013-07-19,270,109003.6223
2013-07-19,300,110509.39127
2013-07-19,330,113465.43526
2013-07-19,360,124944.58108
2013-07-19,390,131129.42409
2013-07-19,420,138343.795
2013-07-19,450,145047.04963
2013-07-19,480,150804.54404
2013-07-19,510,153845.56385
2013-07-19,540,159081.70758
2013-07-19,570,160963.67645
2013-07-19,600,163593.20563
2013-07-19,630,164720.47633
2013-07-19,660,165414.70177
2013-07-19,690,165551.73799
2013-07-19,720,167444.80739
2013-07-19,750,166400.58225
2013-07-19,780,167351.02204
2013-07-19,810,163173.1672
2013-07-19,840,162282.46789
2013-07-19,870,158508.98526
2013-07-19,900,156034.74506
2013-07-19,930,151909.70473
2013-07-19,960,147450.99184
2013-07-19,990,144196.27482
2013-07-19,1020,141780.76461
2013-07-19,1050,139509.73294
2013-07-19,1080,134839.03758
2013-07-19,1110,132397.12226
2013-07-19,1140,129680.73656
2013-07-19,1170,126098.54356
2013-07-19,1200,122982.8366
